1|Hopla!|Belgium|Brussels|CIRCUS|||2025-04-26|2025-05-02|0||late April–early May|Hopla! is a vibrant circus festival held in Brussels, Belgium. It features a variety of circus performances, street art, and music, celebrating the city's rich cultural heritage. The festival aims to connect circus artists with the people of Brussels, fostering wonder, curiosity, and self-transcendence through various performances. Throughout the week, Hopla! brings shows to different neighborhoods in Brussels, while the weekend features performances in central locations such as Vismet, Place Sainte-Catherine, Place du Béguinage, and Square Marguerite Duras. The event is largely free, though some indoor performances may require reservations.|||UNKNOWN|https://www.hopla.brussels/
2|Miramiro Summer Festival|Belgium|Ghent|STREET|steven@miramiro.be celine@miramiro.be|Celine Verkest / Steven De Jonge|||1|Celine Verkest / 
Steven De Jonge|mid to late July|The Miramiro Summer Festival 2025 promises a spectacular edition filled with circus performances from the Ghent circus workshop, offering numerous shows for all ages. The festival will feature a variety of performances and entertainment, including music and circus acts, making it a vibrant and exciting event for attendees of all ages.|||UNKNOWN|https://miramiro.be/en/festival/circus-cravings/
3|Namur En Mai|Belgium|Namur|STREET|||2025-05-23|2025-05-26|1|nan|mid May|Namur en Mai is a vibrant street festival held annually in the city of Namur, Belgium. It features a variety of cultural performances, street art, music, and local cuisine, attracting visitors from all over the country and beyond. The festival includes acrobatics, juggling, dance, puppet shows, and a mix of traditional and innovative performances.|||UNKNOWN|https://namurenmai.org
4|Zomer Van Antwerpen|Belgium|Antwerp|STREET|programma@zva.be||2025-08-22|2025-08-31|1|nan|late June–late August|The Summer of Antwerp (Zomer van Antwerpen) is a vibrant street festival featuring theater, music, circus, and film performances in unexpected locations throughout the city. It includes a mix of local and international performances, with highlights such as 'Falstaff,' 'Efectos Especiales,' and 'The Conference of the Birds.' The festival is accessible to all, with additional materials for wheelchair users and the deaf community.|||UNKNOWN|https://www.zva.be/2013/nl/programma/circus-zomerbar
5|Chassepierre|Belgium|Chassepierre|STREET|online|Nan|||1|nan|mid-August|The Chassepierre Festival is an annual International Festival of Street Arts that transforms the village of Chassepierre into a vibrant hub for street theater and circus performances. It features a diverse lineup of professional companies from the circus and street arts sectors, attracting artists and spectators from across Europe and beyond.|||UNKNOWN|https://www.chassepierre.be
6|Festival Up|Belgium|Brussels|CIRCUS|artistes@upupup.be||||1||late August|The Festival UP Belgium 2025 is part of the 31st season of UP – Circus & Performing Arts, which has been supporting contemporary circus for 26 years in Brussels, Belgium, and internationally. The festival includes various events and performances focused on circus arts and performing arts.|||EMAIL|https://upupup.be/infos-pratiques/
7|La Piste Aux Espoirs|Belgium|Tournai|STREET|info@lapisteauxespoirs.com||||1|nan|mid April|La Piste aux Espoirs is an international contemporary circus festival featuring a variety of performances, including street shows, innovative creations, and family-friendly activities. The festival collaborates with Maison de la Culture de Tournai and offers workshops, games, and networking opportunities for professionals and the public.|||UNKNOWN|http://www.lapisteauxespoirs.com/
8|BITEF Festival|Serbia|nan|STREET|Ksenija Đurović ksenija.djurovic@bitef.rs|nan|||1|nan|september||||UNKNOWN|https://festival.bitef.rs/en
9|Berlin Lacht|Germany|Berlin|STREET|info@berlin-lacht.de|Festival Organizer|2024-06-14|2024-06-16|0||early August to mid-September|Berlin Lacht is an international street theater festival that brings together extraordinary artists from various nations to perform in Berlin. The festival features comedy acts, live music, and street performances, celebrating humor and entertainment in the heart of Berlin. The 2025 edition will take place at two main locations: Potsdamer Platz (August 5 to August 24) and Washingtonplatz (Berlin Hauptbahnhof) (August 26 to September 15).|||UNKNOWN|https://berlin-lacht.de
10|Sounddance Festival|Germany|Berlin|STREET|info@soundance-festival.de||||0|Contemporary Dance|mid June|The Soundance Festival is known for its unique blend of dance, music, and text, offering a variety of performances that are choreographed, improvised, instrumental, live, or recorded. Each performance is distinct in its artistic style, making the festival a standout event for enthusiasts of contemporary dance and music.|||UNKNOWN|https://opencall.soundance-festival.de/
11|Artlake|Germany|Bad Schandau|STREET|booking@artlake-festival.de|Nan|2025-08-29|2025-09-01|0|Weird|end of August|The Artlake Festival is an annual event held in Germany that combines music, art, and workshops. It is known for its diverse array of cultural activities and has become a favorite among music and art enthusiasts. The festival typically features live bands, DJs, workshops, and various forms of artistic expression, creating a vibrant and creative atmosphere. It is celebrated for its community spirit and the opportunity it provides for attendees to actively participate in various art forms. The festival is held in scenic locations, often near lakes, which adds to the overall experience.|||UNKNOWN|https://artlake-festival.de/
12|Theaterformen|Germany|Hannover|STREET|welcome@theaterformen.de||||1|nan|mid–late June|The Theaterformen festival in Germany for 2025 features a variety of contemporary productions by international artists, including performances, lectures, documentaries, musicals, and choreographed excursions into nature. Notable performances include 'A Year Without Summer' and 'Los días afuera / The days out there' by Lola Arias. The festival also includes a Festival Campus Niedersachsen for students and emerging artists.|||UNKNOWN|https://www.theaterformen.de/news
13|Brighton Festival|United Kingdom|Brighton|OTHER|info@brightonfestival.org||||0||May|The Brighton Festival in the United Kingdom for 2025 promises to be an exciting and diverse celebration of the arts, featuring a wide range of events across various art forms, including music, theatre, dance, circus, visual arts, film, literature, and debate. The festival will be curated by Grammy-nominated musician and composer Anoushka Shankar, inspired by the theme of ‘New Dawn’.|||UNKNOWN|https://brightonfestival.org
14|Spettacolo Brunnen|Switzerland|Brunnen|STREET|artist@spettacolo-brunnen.ch||||0|not accepting|mid-August|The Spettacolo Brunnen is an international street artist festival held in Brunnen, Switzerland. This biennial event features over 50 street artists from around the world, transforming the Brunnen lakeside promenade into a vibrant cultural spectacle with performances and a food mile.|||UNKNOWN|https://spettacolo-brunnen.ch/
15|Artistic Dance Festival|Bulgaria|Sofia|STREET|info@antistaticfestival.org||||1|nan|mid May|A contemporary dance and performance festival with a theme of 'Signs of Resistance.' It aims to explore how movement can reframe boundaries and includes performances by various artists.|||UNKNOWN|http://antistaticfestival.org/en/
16|Mini Art Festival|Bulgaria|Nan|STREET|miniartfest@gmail.com|Nan|||1|Geo Kalev / Galina Ryom-Røjbek|June||||UNKNOWN|https://en.miniartfest.com/
17|Buskers Chur|Switzerland|Chur|STREET|info@buskers-chur.ch|Nan|||1|nan|early June|The Buskers Chur festival transforms the alpine city of Chur into a vibrant cultural hub under the open sky, featuring over 70 international artists from 20 different nations. The event offers a diverse program blending music, theater, circus acts, and artistic performances with more than 200 shows over two days. Attendees are encouraged to purchase a festival wristband and contribute 'hat money' for the performances.|||UNKNOWN|https://buskers-chur.ch/info/
18|Copenhagen Circus Festival|Denmark||STREET|sarah garde x-act@kittjohnson.dk||||1|nan|||||UNKNOWN|https://www.kittjohnson.dk/english/contact
19|Dynamo Circus Festival|Denmark|Odense|STREET|for residencies: gry@dynamoworkspace.dk open stage: gry@dynamoworkspace.dk||||1|nan|mid June|The Dynamo Circus Festival in Denmark celebrates contemporary circus arts, featuring acrobatics, juggling, clowning, puppet shows, live performances, music, workshops, and film screenings. The festival includes events such as live concerts, open stage performances, and late-night afterparties. It also offers open circus training at the Circus Playground and a film competition called '60secondscircusfilm'.|||UNKNOWN|https://dynamoworkspace.dk/festival/
20|Passage Festival|Denmark|nan|STREET|passagefestival@helsingor-teater.dk|nan|||1|nan|Juli||||UNKNOWN|https://passagefestival.nu/en/home/
21|Waves Festival|Denmark|Vordingborg|STREET|malco@cantabile2.dk||||1|next 25|late August|A six-day event featuring a variety of performances including dance, contemporary circus, comedy, and visual performing arts. The festival hosts 19 performing arts companies from 13 different countries, making it one of Denmark's largest curated international performing arts festivals.|||UNKNOWN|https://www.wavesfestival.dk/en/
22|Klp Festival|Germany|Mützingen|STREET|info@muetzingenta.de k.grasnick@gmx.de||2025-05-15|2025-05-17|1|nan|late May–early June|The KLP Festival is the largest self-organized cultural festival in Northern Germany, held annually between Ascension Day and Pentecost. It features live music, local food stalls, art exhibitions, and various cultural performances at multiple locations, including the Gasthof Meuchefitz.|||UNKNOWN|https://nan
23|Dance In The City - Festival Tanzende Stadt|Germany||STREET|info@irene-k.be||||0||||||UNKNOWN|https://www.irene-k.be/
24|Bamberg|Germany|Bamberg|STREET|||||1|nan|mid July|The 'Bamberg Zaubert' festival is an annual event held in Bamberg, Germany, that transforms the historic city center into a vibrant stage for international street and variety performances. It features over 500 performances across approximately 20 stages, showcasing a diverse range of acts including magic, acrobatics, juggling, fire and light shows, and music. It attracts around 250,000 visitors each year and includes performances by over 100 international artists.|||UNKNOWN|http://www.bamberg-zaubert.de/
25|Düsseldorf Festival Full Spin|Germany|Düsseldorf|STREET|leoni@duesseldorf-festival.de|Nan|||1|nan|mid-September|The Düsseldorf Festival, which began in 1991 as Altstadtherbst, has grown into a significant event featuring a variety of performing arts including music, dance, theater, and new circus. The festival presents international productions and performances at various venues across the city, including Burgplatz.|||UNKNOWN|https://www.fullspinfestival.de/
26|Festival No Elephants - Freiburger Zirkustage|Germany|nan|STREET|ewerk@ewerk-freiburg.de|nan|||1|nan|nan||||UNKNOWN|https://ewerk-freiburg.de/programmatik/festivals-2/
27|Neuland Festival Winter Varieté|Germany|Oldenburg, Schortens, Cuxhaven|CIRCUS|mail@kultur-perspektiven.de||2025-11-28|2025-12-07|1||late November–early December|The Neuland Winter-Varieté features a new program combining air acrobatics, artistry, juggling, humor, dance, and live singing, with performers from various countries including Japan, Germany, Italy, Denmark, Switzerland, France, and the USA. The show is approximately two hours long, including an intermission, and is suitable for all ages.|||EMAIL|https://www.kultur-perspektiven.de
28|Freeman Festival|Germany|Munich|CIRCUS|info@wannda.de||2025-09-13|2025-09-14|0||mid September|Festival for contemporary circus with various cultural events, workshops, and performances.|||EMAIL|https://wannda.de/kontakt/
29|Brückensensationen Festival|Germany|Rheinfelden|STREET|kulturamt@rheinfelden-baden.de||||0|nan||The Brückensensationen Festival in Rheinfelden, Germany, is a vibrant street art festival that takes place annually. The festival is known for its unique setting around the old Rhine Bridge, which connects Switzerland and Germany, turning the area into a large open-air stage. The event features a variety of performances, including street theater, music, and other artistic displays, attracting around 12,000 visitors each year. The festival typically spans three days and includes numerous food and drink stalls, adding to the festive atmosphere.|||UNKNOWN|https://www.rheinfelden.de/brueckensensationen
30|Freiart Festival|Germany|Freiburg|STREET|info@freiartfestival.com|Nan|||1|DANCE|mid-September|The Frei Art Festival 2025 is an international dance and culture festival featuring performances, workshops, and seminars. It includes a variety of contemporary and urban dance sessions led by renowned artists, special events with short pieces by international choreographers, and residencies for selected artists.|||UNKNOWN|https://www.freiartfestival.com
31|Hut Festival|Germany|Nan|STREET|a.grimm@c3-chemnitz.de|Nan|2025-08-29|2025-08-31|1|Anne Grimm|nan|The Hut Festival is a vibrant street festival held in Chemnitz, Germany. It features a variety of street performances, live music, local food stalls, and art exhibitions. The festival celebrates the cultural diversity and creativity of the region, attracting both locals and tourists.|||UNKNOWN|https://www.hutfestival.de/
32|Impulse Festival|Germany|Mülheim An Der Ruhr, Cologne, Düsseldorf|THEATRE|info@impulsefestival.de|Franziska Werner|2025-06-18|2025-07-06|1||late June–early July|A significant platform for independent theater in the German-speaking world, featuring showcase productions, the 'Post-West' programming strand, and a range of discursive formats, workshops, and parties. The 2025 edition explores the theme 'Gottes Garten' (God's Garden) and examines aspects of a post-Western society.|||EMAIL|https://www.impulsefestival.de
33|Outnow Festival|Germany|nan|STREET|https://outnowbremen.de/wp-content/uploads/2022/06/OUT23Ausschreibung_Form_DE.pdf|nan|||1|nan|nan||||UNKNOWN|https://outnowbremen.de/
34|Sommerpalast|Germany|nan|STREET|info@sommerpalast.de|nan|||1|nan|nan||||UNKNOWN|https://www.sommerpalast.de/
35|Palaisommer Dresden|Dresden|nan|STREET|polenz@palaissommer.de|nan|||1|nan|nan||||UNKNOWN|https://palaissommer.de/
36|Theater Op de Mark|Festival|nan|STREET|theateropdemarkt@limburg.be|nan|||1|nan|Okt/ Nov||||UNKNOWN|https://theateropdemarkt.be/
37|Viathea|Germany|Görlitz And Zgorzelec|STREET|viathea@g-h-t.de|Nan|||1|nan|end of June|The ViaThea Street Theater Festival is an international festival held annually in the cities of Görlitz and Zgorzelec. It transforms the streets and squares into an open-air stage, offering a diverse program of theater, dance, performance art, circus, and other art forms. The festival presents traditional and experimental theater and dance forms, performance art, contemporary circus, audio walks, and participatory projects in public spaces. It emphasizes togetherness, accessibility, and integration, with special accessibility information and a 'Rolli Podest' supported by the 'Barrier-Free Construction' investment program.|||UNKNOWN|https://viathea.de/kuenstler/
38|Lesliehof Graz|Austria|Graz|STREET|nan|Nan|||0|nan|August and December|The Lesliehof in Graz hosts several exciting events in 2025, including the Leslie Open Air Cinema from August 11 to 30, featuring international classics and Austrian films, and the Grazer ARTvent Markt, an advent market from November 28 to December 23, showcasing artisanal crafts and culinary delights.|||UNKNOWN|https://nan
39|Lendwirbel Graz|Graz|nan|STREET|office@lendwirbel.at|nan|||0|nan|nan||||UNKNOWN|https://www.lendwirbel.at/
40|Steirischer Herbst|Graz|nan|STREET|info [|nan|||0|nan|nan||||UNKNOWN|https://www.steirischerherbst.at/de/
41|Theaterland Steiermark|graz|nan|STREET|fasshuber@theaterland.at|nan|||1|Peter Fasshuber|nan||||UNKNOWN|https://www.theaterland.at/2021/theaterland-steiermark-2.21/index.html
42|Kultursommerwien|Austria|Vienna|STREET|||2025-06-26|2025-08-10|1||late June–early August|The Kultursommer Wien (Vienna Summer of Culture) transforms various locations across Vienna into open-air stages, offering a diverse program of free cultural events. The festival features cabaret, literature, music, dance, theater, and contemporary circus, with special offerings like family programs and participatory workshops. The 2025 edition runs under the motto 'Culture is where you are' and includes over 2,000 artists and 500 acts across 28 venues in 17 districts.||2025-12-01|FORM|
43|Festival Belluard|Fribourg|nan|STREET|Diane Fleury: diane@belluard.ch Gionata Morganti: gionata@belluard.ch|nan|||1|nan|nan||||UNKNOWN|https://belluard.ch/de
44|Garmisch-Partenkirchen|Garmisch|nan|STREET|Zeitwanderer Application|nan|||0|nan|nan||||UNKNOWN|Zeitwanderer.att
45|Tollwood Weihnachstsmarkt|Gemany|nan|STREET|joana.hoelcke@tollwood.de|nan|||0|nan|nan||||UNKNOWN|https://www.tollwood.de/
46|Internationales Pantomime Theater Festival|Germany|nan|STREET|info@mimedresden.de|nan|||1|nan|nan||||UNKNOWN|https://mimedresden.de/
47|ATOLL|Germany|nan|STREET|info@tollhaus.de|nan|||1|nan|September||||UNKNOWN|https://www.tollhaus.de/de/214/atoll.html
48|Gassenstationen|Germany|nan|STREET|info@gassensensationen.de|nan|||1|nan|Juli||||UNKNOWN|https://gassensensationen.de/kuenstler/
49|La Strada|Germany|nan|STREET|application@lastrada-bremen.de|nan|||1|nan|nan||||UNKNOWN|https://lastrada-bremen.de/bewerbung
